,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
41,Mississippi,4.2,4.0,3.6,3.3,1.9,2.0,2.1,2.0,2.8,3.4,3.4,3.1,5.3,5.3,5.3,5.1,5.5,3.8,3.1,4.1,4.1,3.6,2.8,3.9,2.8,3.7
42,Cornell,4.2,3.8,2.1,1.3,2.3,2.1,3.0,3.0,2.5,2.9,2.8,3.6,3.5,2.5,2.9,3.5,2.7,4.7,3.7,2.6,3.2,3.3,2.6,--,2.7,2.1
43,TN Tech,4.2,2.0,1.8,1.2,2.9,3.5,1.7,3.6,2.7,3.4,3.8,5.3,2.2,2.2,2.4,3.3,4.4,3.4,3.6,3.2,3.2,4.1,2.9,2.3,3.5,2.4
44,Oklahoma,4.2,3.9,2.6,2.7,3.7,3.6,5.0,4.1,3.4,4.2,3.9,4.3,2.7,2.8,3.1,2.8,3.3,5.0,5.1,4.7,4.7,3.0,4.4,3.6,1.9,3.0
45,Colorado St,4.2,3.9,4.4,1.5,3.2,4.2,4.8,5.3,6.4,4.5,3.1,2.4,2.4,2.5,1.9,1.9,3.2,3.5,2.4,3.4,3.1,2.3,2.0,2.7,3.0,2.4
46,Bradley,4.2,3.9,2.9,3.7,3.3,1.7,1.9,4.8,4.5,2.3,2.4,3.3,2.8,2.5,3.1,2.4,2.6,2.8,2.6,3.5,4.0,3.7,4.0,3.2,4.5,3.9
47,Kansas St,4.2,4.2,4.2,3.2,4.1,3.6,2.7,2.2,3.4,3.7,3.5,3.0,5.1,4.4,4.7,3.7,3.0,2.3,2.8,3.7,3.0,2.2,2.4,1.6,1.6,2.8
48,Connecticut,4.2,4.1,5.0,3.7,6.9,7.5,8.2,8.9,8.8,8.6,8.6,7.8,7.6,5.5,6.9,4.5,5.7,5.2,5.1,5.3,3.7,4.4,6.0,5.3,6.4,4.9
49,Mt St Marys,4.1,3.9,3.0,4.0,2.0,3.0,2.0,1.3,2.6,2.7,3.6,3.8,4.6,3.5,3.4,2.1,3.0,3.7,3.6,3.9,3.9,3.3,3.2,4.3,4.1,2.4
50,Baylor,4.1,3.4,4.2,2.2,3.5,3.0,2.7,1.8,4.2,3.7,4.3,3.5,6.6,4.2,4.5,4.5,5.4,3.8,3.9,4.8,4.4,4.7,4.4,3.7,3.4,2.4
51,St Johns,4.1,3.3,2.7,3.0,3.8,4.4,4.3,4.1,3.9,3.5,3.1,3.6,3.8,2.8,3.7,7.3,7.5,6.5,5.5,6.0,5.2,3.3,4.0,3.9,5.5,3.7
52,Central FL,4.1,3.3,3.5,3.4,3.5,3.1,4.7,4.1,3.5,3.5,3.5,2.8,3.0,5.7,4.0,4.3,4.3,4.1,4.6,4.0,3.5,4.5,2.9,3.4,3.7,3.8
53,Miss Val St,4.1,6.4,5.2,5.3,2.3,2.5,3.4,4.8,2.3,4.2,2.7,1.6,2.5,2.8,2.6,2.5,1.9,1.2,2.3,1.9,1.7,2.1,2.9,3.0,2.5,2.0
54,Colorado,4.1,3.6,3.5,3.2,4.8,6.7,5.9,5.3,5.8,4.3,4.3,1.7,2.3,2.8,3.2,3.2,3.3,3.9,5.0,4.3,3.8,3.0,3.1,2.8,3.2,3.7
55,USC,4.1,4.4,4.0,4.5,4.1,3.4,3.3,2.6,3.2,4.0,4.4,4.7,4.4,3.1,2.0,5.1,4.3,4.2,5.3,5.3,4.0,3.5,4.9,5.1,4.4,5.1
56,S Car State,4.1,4.4,3.9,2.4,3.0,2.8,1.9,2.1,2.4,2.5,4.0,3.0,2.6,3.4,4.2,3.9,3.1,3.1,2.8,2.1,2.3,1.7,1.9,2.8,3.6,3.1
57,S Utah,4.1,4.2,2.7,2.6,2.3,3.3,2.1,2.0,2.4,3.3,1.9,0.9,3.7,4.3,2.3,5.0,3.3,3.7,2.7,3.3,3.0,3.3,4.1,2.7,2.4,3.4
58,Miami (FL),4.1,5.3,3.6,4.7,5.9,4.3,3.5,4.8,4.0,2.9,4.5,3.8,4.5,3.4,3.6,4.4,3.8,3.3,3.6,3.8,4.1,3.1,3.8,3.9,3.2,3.1
59,TX Christian,4.1,3.9,6.1,5.3,4.4,2.1,2.4,1.7,2.2,3.4,2.3,1.1,1.8,2.2,2.4,2.7,3.2,5.3,3.8,4.6,3.6,4.4,4.7,3.5,4.1,4.7
60,Minnesota,4.1,5.8,5.2,3.7,4.8,5.9,4.7,4.5,3.5,4.9,4.0,6.0,5.7,5.5,4.9,5.5,4.1,3.3,3.6,6.7,5.1,3.9,4.6,4.6,2.8,4.0
61,Citadel,4.0,2.7,2.8,3.1,2.8,3.2,3.2,3.8,3.2,0.8,1.2,1.6,1.5,1.5,1.6,2.0,2.9,2.0,3.1,2.4,2.9,3.1,2.7,4.3,3.5,2.6
62,Campbell,4.0,2.9,2.7,3.0,2.6,2.7,1.4,1.5,2.6,3.0,2.8,2.6,2.1,5.0,5.2,3.1,4.1,2.8,2.1,4.0,3.9,2.9,2.9,2.4,2.2,2.7
