,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
95,Central FL,0.526,0.551,0.571,0.608,0.601,0.554,0.541,0.481,0.576,0.56,0.542,0.548,0.552,0.543,0.568,0.569,0.548,0.549,0.551,0.609,0.558,0.535,0.58,0.569,0.55,0.534
96,Texas Tech,0.526,0.506,0.597,0.574,0.552,0.535,0.498,0.547,0.547,0.507,0.463,0.493,0.484,0.456,0.526,0.527,0.488,0.528,0.462,0.506,0.462,0.495,0.441,0.450,0.536,0.545
97,Army,0.529,0.563,0.521,0.49,0.539,0.594,0.576,0.547,0.56,0.605,0.599,0.59,0.593,0.593,0.547,0.546,0.512,0.544,0.458,0.518,0.539,0.523,0.511,0.506,0.549,0.527
98,Maryland,0.529,0.594,0.582,0.503,0.53,0.567,0.528,0.523,0.563,0.481,0.501,0.523,0.473,0.529,0.522,0.512,0.498,0.481,0.471,0.466,0.518,0.519,0.547,0.524,0.522,0.472
99,Clemson,0.53,0.568,0.616,0.6,0.575,0.611,0.553,0.537,0.48,0.518,0.485,0.538,0.515,0.528,0.518,0.529,0.479,0.524,0.519,0.485,0.485,0.445,0.516,0.509,0.506,0.494
100,Prairie View,0.53,0.574,0.586,0.588,0.576,0.572,0.638,0.609,0.597,0.543,0.536,0.512,0.572,0.538,0.555,0.545,0.54,0.506,0.555,0.531,0.502,0.517,0.538,0.501,0.491,0.501
101,Louisville,0.531,0.502,0.538,0.542,0.499,0.536,0.552,0.56,0.549,0.565,0.571,0.538,0.565,0.518,0.529,0.495,0.492,0.551,0.515,0.483,0.441,0.48,0.472,0.498,0.524,0.561
102,Florida Intl,0.531,0.571,0.565,0.595,0.602,0.593,0.542,0.532,0.549,0.526,0.532,0.511,0.594,0.544,0.583,0.588,0.545,0.58,0.53,0.53,0.544,0.51,0.493,0.457,0.536,0.539
103,UAB,0.532,0.54,0.595,0.554,0.554,0.575,0.523,0.57,0.542,0.489,0.471,0.474,0.482,0.485,0.525,0.546,0.507,0.492,0.511,0.501,0.536,0.551,0.481,0.491,0.466,0.485
104,Middle Tenn,0.532,0.503,0.545,0.616,0.547,0.495,0.534,0.508,0.554,0.507,0.516,0.464,0.504,0.528,0.452,0.463,0.465,0.55,0.501,0.51,0.522,0.528,0.531,0.488,0.443,0.458
105,UCSB,0.534,0.61,0.588,0.594,0.58,0.527,0.61,0.59,0.521,0.554,0.534,0.564,0.575,0.59,0.57,0.594,0.608,0.566,0.552,0.635,0.548,0.462,0.471,0.455,0.51,0.484
106,Manhattan,0.535,0.621,0.605,0.557,0.525,0.508,0.505,0.533,0.502,0.548,0.538,0.547,0.549,0.629,0.613,0.582,0.528,0.598,0.603,0.602,0.592,0.594,0.571,0.555,0.559,0.564
107,S Methodist,0.536,0.575,0.608,0.59,0.621,0.62,0.605,0.611,0.604,0.555,0.518,0.565,0.557,0.509,0.553,0.612,0.57,0.613,0.559,0.557,0.638,0.622,0.596,0.600,0.527,0.573
108,Lehigh,0.536,0.592,0.533,0.516,0.575,0.551,0.589,0.628,0.605,0.65,0.608,0.611,0.573,0.555,0.554,0.602,0.609,0.619,0.601,0.527,0.577,0.57,0.56,0.515,0.416,0.476
109,N Iowa,0.536,0.549,0.494,0.558,0.516,0.541,0.426,0.527,0.494,0.519,0.519,0.547,0.452,0.543,0.471,0.463,0.461,0.485,0.51,0.523,0.483,0.489,0.439,0.524,0.509,0.522
110,Virginia,0.536,0.512,0.487,0.543,0.577,0.51,0.565,0.606,0.621,0.579,0.568,0.554,0.484,0.47,0.425,0.47,0.513,0.495,0.476,0.506,0.476,0.437,0.473,0.529,0.519,0.528
111,Saint Louis,0.537,0.57,0.524,0.459,0.495,0.521,0.525,0.555,0.537,0.569,0.511,0.428,0.451,0.471,0.435,0.54,0.469,0.576,0.573,0.633,0.559,0.548,0.497,0.516,0.476,0.532
112,UCLA,0.537,0.596,0.57,0.571,0.557,0.567,0.532,0.509,0.51,0.551,0.509,0.516,0.508,0.488,0.527,0.522,0.567,0.584,0.537,0.468,0.506,0.605,0.477,0.497,0.502,0.509
113,Stanford,0.538,0.503,0.567,0.481,0.511,0.492,0.471,0.516,0.479,0.473,0.454,0.487,0.504,0.514,0.482,0.457,0.568,0.517,0.58,0.583,0.477,0.409,0.455,0.511,0.49,0.515
114,Maine,0.538,0.563,0.523,0.535,0.553,0.54,0.503,0.53,0.545,0.561,0.591,0.616,0.584,0.571,0.578,0.511,0.535,0.57,0.573,0.518,0.53,0.648,0.543,0.514,0.493,0.521
115,Brown,0.538,0.569,0.603,0.553,0.56,0.543,0.563,0.549,0.608,0.604,0.587,0.55,0.502,0.51,0.55,0.549,0.509,0.507,0.535,0.539,0.493,0.497,0.491,--,0.469,0.472
116,Tennessee,0.538,0.515,0.486,0.525,0.594,0.627,0.611,0.594,0.6,0.549,0.55,0.531,0.524,0.527,0.472,0.493,0.451,0.664,0.532,0.494,0.489,0.513,0.447,0.464,0.521,0.504
117,Yale,0.538,0.606,0.558,0.609,0.531,0.553,0.563,0.557,0.574,0.576,0.588,0.556,0.56,0.466,0.524,0.556,0.515,0.502,0.502,0.515,0.518,0.485,0.504,--,0.486,0.509
118,Tulsa,0.538,0.527,0.519,0.52,0.519,0.495,0.537,0.571,0.586,0.459,0.513,0.48,0.424,0.493,0.452,0.603,0.502,0.524,0.509,0.495,0.557,0.557,0.535,0.545,0.547,0.574
119,Morgan St,0.539,0.537,0.553,0.527,0.484,0.402,0.534,0.496,0.504,0.52,0.489,0.446,0.477,0.525,0.518,0.49,0.509,0.499,0.534,0.56,0.568,0.541,0.509,0.504,0.493,0.558
120,Utah State,0.539,0.557,0.559,0.491,0.54,0.509,0.512,0.477,0.513,0.558,0.544,0.547,0.514,0.524,0.533,0.607,0.524,0.577,0.549,0.561,0.52,0.506,0.489,0.519,0.557,0.472
121,TN Martin,0.539,0.566,0.655,0.632,0.592,0.564,0.595,0.581,0.585,0.623,0.616,0.544,0.623,0.576,0.573,0.622,0.598,0.536,0.563,0.575,0.683,0.596,0.61,0.631,0.552,0.546
122,Ball State,0.539,0.568,0.57,0.566,0.475,0.578,0.606,0.563,0.609,0.616,0.563,0.517,0.587,0.54,0.577,0.59,0.532,0.511,0.504,0.467,0.491,0.456,0.43,0.473,0.503,0.375
