Team,GP,PTS,PPG,AST,TO,AST/TO,APG,Bench,Bench_PPG,BLKS,BKPG,EFF_FG_PCT,FB pts,FB_PPG,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,Fouls,PFPG,DQ,FT,FTA,FTAvgAtt,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,DRebs,DRPG,OReb,ORPG,OPP PTS,OPP PPG,SCR MAR,ST,STPG,3FG,3FGA,3FG%,Opp 3FGA,Opp 3FG,OPP_3FG%,3PG,TO_RATIO,OPP TO,AVG_FCD_TO,TO,TOPG,W,L,Pct
Tulsa,30,1959,65.3,348,397,0.88,11.6,478,15.93,45,1.5,0.479,238,7.93,715,1733,41.26,864,1822,47.42,464,15.5,5,299,463,15.4,64.58,958,31.9,1160,38.7,-6,687,22.9,271,9.03,2323,77.4,-12,164,5.5,230,735,31.29,722,226,31.3,7.7,-1.4,355,11.83,397,13.2,5,25,16.7
IUPUI,32,2089,65.3,358,506,0.71,11.2,608,19.0,81,2.5,0.5,251,7.84,786,1718,45.75,860,1833,46.918,570,17.8,7,371,537,16.8,69.09,1011,31.6,1055,33.0,-1,714,22.31,297,9.28,2456,76.8,-11,185,5.8,146,492,29.67,714,256,35.9,4.6,-4.2,372,11.62,506,15.8,5,27,15.6
Wisconsin,35,2284,65.3,406,302,1.34,11.6,421,12.03,52,1.5,0.483,137,3.91,831,2005,41.45,831,1871,44.415,554,15.8,5,346,501,14.3,69.06,1110,31.7,1228,35.1,-3,832,23.77,278,7.94,2225,63.6,1,207,5.9,276,807,34.2,686,217,31.6,7.9,3.2,413,11.8,302,8.6,20,15,57.1
Butler,32,2088,65.2,403,378,1.07,12.6,394,12.31,138,4.3,0.495,306,9.56,771,1767,43.63,838,1874,44.717,429,13.4,5,339,459,14.3,73.86,958,29.9,1161,36.3,-6,751,23.47,207,6.47,2174,67.9,-2,216,6.8,207,633,32.7,623,200,32.1,6.5,0.7,400,12.5,378,11.8,14,18,43.8
Niagara,31,2016,65.0,339,365,0.93,10.9,461,14.87,71,2.3,0.508,213,6.87,736,1642,44.82,731,1664,43.93,499,16.1,7,348,481,15.5,72.35,944,30.5,949,30.6,0,694,22.39,250,8.06,2044,65.9,0,165,5.3,196,570,34.39,509,182,35.8,6.3,-0.9,336,10.84,365,11.8,16,15,51.6
Fairfield,31,2012,64.9,296,367,0.81,9.5,611,19.71,114,3.7,0.463,224,7.23,690,1681,41.05,769,1748,43.993,472,15.2,10,454,627,20.2,72.41,1045,33.7,1060,34.2,0,740,23.87,305,9.84,2045,66.0,-1,170,5.5,178,621,28.66,553,161,29.1,5.7,-0.1,363,11.71,367,11.8,13,18,41.9
St. Francis Brooklyn,30,1946,64.9,369,414,0.89,12.3,698,23.27,144,4.8,0.464,314,10.47,688,1701,40.45,749,1677,44.663,460,15.3,10,366,524,17.5,69.85,1016,33.9,1053,35.1,-1,674,22.47,342,11.4,2034,67.8,-2,223,7.4,204,577,35.36,454,177,39.0,6.8,-0.2,409,13.63,414,13.8,14,16,46.7
Delaware St.,30,1939,64.6,372,481,0.77,12.4,772,25.73,79,2.6,0.463,263,8.77,714,1725,41.39,772,1660,46.506,551,18.4,15,340,494,16.5,68.83,1047,34.9,1038,34.6,0,711,23.7,336,11.2,2265,75.5,-10,209,7.0,171,542,31.55,702,283,40.3,5.7,-1.9,425,14.17,481,16.0,6,24,20.0
North Texas,38,2452,64.5,428,451,0.95,11.3,536,14.11,112,2.9,0.509,207,5.45,854,1957,43.64,712,1822,39.078,619,16.3,13,460,609,16.0,75.53,1289,33.9,1122,29.5,4,882,23.21,407,10.71,2121,55.8,8,246,6.5,284,809,35.11,643,194,30.2,7.5,0.4,465,12.24,451,11.9,31,7,81.6
Kansas City,32,2060,64.4,300,432,0.69,9.4,446,13.94,117,3.7,0.443,197,6.16,723,1844,39.21,734,1730,42.428,585,18.3,21,426,598,18.7,71.24,1183,37.0,1065,33.3,3,753,23.53,430,13.44,2199,68.7,-4,192,6.0,188,665,28.27,697,239,34.3,5.9,-1.6,380,11.88,432,13.5,11,21,34.4
