,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
312,Quinnipiac,,6.3%,6.0%,5.3%,5.7%,5.2%,6.3%,7.1%,7.9%,4.9%,4.9%,6.8%,5.3%,5.0%,4.9%,4.4%,7.6%,5.5%,6.3%,5.3%,6.1%,5.4%,5.7%,6.9%,6.6%,6.8%
313,Elon,,7.4%,6.7%,5.3%,6.2%,7.4%,5.1%,5.5%,5.7%,5.3%,5.3%,4.9%,7.3%,5.6%,5.5%,4.0%,4.3%,6.5%,6.9%,5.5%,5.0%,3.7%,5.2%,5.9%,5.9%,5.6%
314,IUPUI,,8.4%,7.7%,7.4%,7.7%,6.9%,6.0%,4.2%,6.2%,5.9%,4.7%,4.4%,5.9%,5.4%,4.3%,5.1%,5.8%,7.9%,7.7%,6.8%,7.5%,7.5%,6.2%,3.6%,6.2%,5.8%
315,Bham Southern,,,4.0%,5.1%,4.6%,5.0%,6.7%,5.2%,6.0%,,,,,,,,,,,,,,,,,
316,Albany,,,5.1%,7.8%,6.6%,6.2%,7.5%,6.9%,6.6%,7.4%,6.8%,7.0%,7.4%,6.2%,5.7%,6.8%,5.9%,7.0%,7.3%,7.3%,7.5%,6.6%,6.2%,7.2%,7.8%,6.4%
317,TX A&M-CC,,,5.5%,4.3%,6.6%,5.1%,5.9%,3.6%,6.4%,5.4%,5.0%,7.3%,5.2%,6.0%,7.3%,5.8%,7.9%,5.3%,3.9%,4.9%,5.6%,6.4%,6.3%,5.7%,7.0%,5.8%
318,Sacred Hrt,,,5.9%,5.4%,5.5%,5.3%,5.0%,5.3%,6.8%,5.0%,4.9%,5.1%,4.5%,6.5%,5.0%,6.2%,7.4%,6.0%,6.7%,7.0%,5.9%,6.7%,6.1%,7.1%,6.1%,5.1%
319,Denver,,,6.0%,6.9%,4.8%,5.6%,5.6%,6.7%,5.9%,5.7%,5.9%,5.8%,6.0%,6.6%,6.4%,4.9%,5.8%,4.8%,6.0%,6.0%,5.1%,4.6%,4.6%,6.1%,5.9%,6.8%
320,Stony Brook,,,6.0%,5.1%,6.1%,6.3%,5.9%,7.0%,6.8%,5.3%,6.7%,6.3%,6.2%,5.2%,5.1%,5.5%,6.3%,5.7%,5.1%,4.0%,7.0%,6.8%,4.9%,5.2%,4.9%,4.2%
321,Lipscomb,,,,5.4%,6.1%,7.4%,6.1%,8.4%,5.0%,4.7%,6.0%,6.0%,6.0%,6.5%,7.6%,8.5%,5.7%,7.4%,6.2%,5.9%,7.3%,6.5%,6.9%,5.7%,7.7%,4.8%
322,UC Riverside,,,,,4.1%,4.4%,5.2%,7.5%,7.5%,5.4%,6.0%,4.4%,6.3%,4.7%,4.7%,6.6%,6.9%,7.0%,6.5%,5.4%,6.0%,4.2%,5.2%,4.7%,4.8%,5.2%
